id,row,col,norm,final_health,service_ratio,total_demand,total_generated,total_self_served,total_imported,total_exported,total_unmet,final_storage
0,0,0,0.9479,1.0,0.9565,1382.718,1851.988,1321.244,1.286,380.804,60.188,149.94
1,0,1,0.6509,0.9913,0.9441,134.15,159.076,110.201,16.449,48.875,7.501,0.0
2,0,2,0.8213,0.3657,0.8393,186.986,140.338,110.039,46.898,30.298,30.049,0.0
3,0,3,0.3657,1.0,0.9763,2258.333,2867.502,2204.913,0.0,43.867,53.42,618.722
4,0,4,0.9097,0.3657,0.7509,164.715,97.093,95.821,27.861,1.271,41.033,0.0
5,0,5,0.0375,0.0,0.7948,149.73,133.068,118.24,0.769,14.828,30.722,0.0
6,0,6,0.4182,0.0,0.6195,2309.306,1407.996,1406.748,23.795,1.247,878.762,0.0
7,0,7,0.0907,0.0591,0.7154,149.73,133.068,104.116,3.005,28.952,42.61,0.0
8,0,8,0.0591,1.0,0.9823,900.362,939.345,884.436,0.03,4.515,15.896,50.394
9,0,9,0.9474,0.9078,0.8924,168.032,53.134,53.082,96.877,0.052,18.072,0.0
10,0,10,0.5771,1.0,0.9155,134.15,159.076,111.198,11.611,42.713,11.34,5.165
11,0,11,0.0496,1.0,0.8964,1391.678,1175.318,1158.796,88.752,0.164,144.13,16.358
12,0,12,0.0466,1.0,0.9938,89.615,161.441,89.059,0.0,8.098,0.556,64.285
13,0,13,0.2896,1.0,0.9623,813.95,909.598,759.852,23.438,4.323,30.66,145.423
14,0,14,0.5407,1.0,0.9731,2258.333,2867.502,2197.6,0.015,35.394,60.717,634.508
15,0,15,0.5603,1.0,0.955,134.15,159.076,122.52,5.595,16.855,6.036,19.701
16,0,16,0.1031,1.0,0.988,654.645,1117.259,646.739,0.076,2.631,7.83,467.889
17,0,17,0.3724,0.7154,0.7828,47.13,40.748,20.559,16.335,20.189,10.236,0.0
18,0,18,0.5644,0.0,0.3284,57690.591,16216.901,16216.834,2728.64,0.067,38745.117,0.0
19,0,19,0.4964,0.0,0.4463,1343.456,1921.543,595.607,4.04,1325.937,743.809,0.0
20,0,20,0.7772,0.0,0.2495,2955.732,1976.443,686.861,50.741,1289.582,2218.131,0.0
21,0,21,0.5856,0.0,0.4158,134.15,159.076,54.396,1.386,104.68,78.368,0.0
22,0,22,0.3616,0.0,0.2754,152231.973,41494.217,41494.217,431.448,0.0,110306.308,0.0
23,0,23,0.7944,0.0,0.3821,149.73,133.068,51.166,6.049,81.902,92.516,0.0
24,0,24,0.0819,0.0,0.8735,1067.454,1457.25,906.56,25.837,550.69,135.056,0.0
25,0,25,0.5252,0.0,0.8408,134.15,159.076,109.638,3.149,49.438,21.363,0.0
26,0,26,0.7294,0.609,0.8779,149.73,133.068,103.215,28.227,29.852,18.288,0.0
27,0,27,0.609,1.0,0.9128,2258.333,2867.502,2060.788,0.631,725.886,196.913,80.828
28,0,28,0.1181,1.0,0.8063,8539.342,5929.147,5914.719,970.15,2.777,1654.473,11.65
29,0,29,0.165,1.0,0.9738,654.645,1117.259,637.483,0.0,350.821,17.161,128.954
30,0,30,0.152,1.0,0.6317,2782.325,1566.667,1523.975,233.664,37.787,1024.686,4.905
31,0,31,0.4217,0.152,0.546,3741.612,1769.062,1760.518,282.245,8.544,1698.849,0.0
32,0,32,0.7646,0.4472,0.8677,1501.5,1393.052,1151.978,150.899,241.074,198.623,0.0
33,0,33,0.3401,1.0,0.9754,2258.333,2867.502,2202.86,0.0,139.51,55.472,525.132
34,0,34,0.5944,1.0,0.8336,272.625,508.327,205.638,21.628,302.2,45.359,0.49
