id,row,col,alive_percent,resilience
0,0,0,96.9444,0.962726
1,0,1,96.9444,0.963992
2,0,2,82.0833,0.764232
3,0,3,98.3333,0.980797
4,0,4,66.6667,0.599453
5,0,5,89.8611,0.879311
6,0,6,59.3056,0.529889
7,0,7,89.8611,0.879311
8,0,8,98.0556,0.977523
9,0,9,45.0,0.339953
10,0,10,96.9444,0.963992
11,0,11,85.0,0.818174
12,0,12,99.0278,0.98933
13,0,13,94.3056,0.93572
14,0,14,98.3333,0.980797
15,0,15,96.9444,0.963992
16,0,16,99.0278,0.988635
17,0,17,89.5833,0.868077
18,0,18,41.3889,0.271776
19,0,19,99.0278,0.987919
20,0,20,83.1944,0.764684
21,0,21,96.9444,0.963992
22,0,22,41.8056,0.275458
23,0,23,89.8611,0.879311
24,0,24,98.0556,0.977996
25,0,25,96.9444,0.963992
26,0,26,89.8611,0.879311
27,0,27,98.3333,0.980797
28,0,28,84.7222,0.787895
29,0,29,99.0278,0.988635
30,0,30,74.8611,0.66386
31,0,31,58.4722,0.469885
32,0,32,90.8333,0.881419
33,0,33,98.3333,0.980797
34,0,34,99.0278,0.98993
35,0,35,50.9722,0.398141
36,1,0,73.3333,0.650554
37,1,1,89.8611,0.879311
38,1,2,45.9722,0.35942
39,1,3,97.3611,0.963215
40,1,4,89.8611,0.879311
41,1,5,50.9722,0.398141
42,1,6,89.8611,0.879311
43,1,7,50.9722,0.398141
44,1,8,89.8611,0.879311
45,1,9,97.5,0.972855
46,1,10,99.0278,0.98933
47,1,11,98.0556,0.977523
48,1,12,89.8611,0.879311
49,1,13,99.0278,0.989121
50,1,14,98.3333,0.980724
51,1,15,89.1667,0.867776
52,1,16,89.8611,0.879311
53,1,17,97.5,0.972855
54,1,18,99.0278,0.987919
55,1,19,89.4444,0.864816
56,1,20,41.5278,0.274411
57,1,21,82.0833,0.764232
58,1,22,57.9167,0.498797
59,1,23,65.4167,0.584744
60,1,24,43.4722,0.268687
61,1,25,89.8611,0.879311
62,1,26,77.5,0.706677
63,1,27,99.0278,0.986167
64,1,28,98.0556,0.977523
65,1,29,88.6111,0.843188
66,1,30,98.3333,0.980724
67,1,31,46.25,0.359818
68,1,32,98.0556,0.977523
69,1,33,89.8611,0.879311
70,1,34,96.9444,0.962726
71,1,35,99.0278,0.98933
72,2,0,45.0,0.339953
73,2,1,53.3333,0.455518
74,2,2,96.9444,0.962726
75,2,3,96.9444,0.963992
76,2,4,98.0556,0.977523
77,2,5,88.75,0.829189
78,2,6,98.3333,0.980724
79,2,7,62.0833,0.519296
80,2,8,88.4722,0.857485
81,2,9,98.3333,0.980797
82,2,10,98.3333,0.980797
83,2,11,99.0278,0.989183
84,2,12,89.8611,0.879311
85,2,13,44.7222,0.331445
86,2,14,98.0556,0.977523
87,2,15,99.0278,0.989417
88,2,16,97.6389,0.968814
89,2,17,89.8611,0.879311
90,2,18,65.4167,0.584744
91,2,19,99.0278,0.989417
92,2,20,99.0278,0.989417
93,2,21,99.0278,0.989417
94,2,22,46.25,0.359818
95,2,23,99.0278,0.990278
96,2,24,99.0278,0.990278
97,2,25,41.3889,0.235202
98,2,26,89.8611,0.879311
99,2,27,97.5,0.969213
100,2,28,98.3333,0.980724
101,2,29,89.8611,0.879311
102,2,30,99.0278,0.987919
103,2,31,69.3056,0.627323
104,2,32,89.4444,0.864816
105,2,33,99.0278,0.988635
106,2,34,45.0,0.339953
107,2,35,98.3333,0.980724
108,3,0,43.8889,0.346581
109,3,1,97.0833,0.960535
110,3,2,98.3333,0.980724
111,3,3,99.0278,0.988208
112,3,4,96.9444,0.963992
113,3,5,96.3889,0.949784
114,3,6,99.0278,0.98933
115,3,7,50.9722,0.398141
116,3,8,44.5833,0.309916
117,3,9,89.8611,0.879311
118,3,10,75.1389,0.694154
119,3,11,83.1944,0.764684
120,3,12,48.6111,0.364022
121,3,13,96.9444,0.963992
122,3,14,98.6111,0.982053
123,3,15,99.0278,0.990278
124,3,16,99.0278,0.990278
125,3,17,41.3889,0.249037
126,3,18,99.0278,0.990278
127,3,19,99.0278,0.990278
128,3,20,79.5833,0.739776
129,3,21,99.0278,0.990278
130,3,22,99.0278,0.990278
131,3,23,99.0278,0.989417
132,3,24,99.0278,0.990278
133,3,25,99.0278,0.989417
134,3,26,89.8611,0.879311
135,3,27,50.9722,0.398141
136,3,28,43.3333,0.301859
137,3,29,99.0278,0.98933
138,3,30,98.3333,0.980797
139,3,31,99.0278,0.990278
140,3,32,72.9167,0.672298
141,3,33,99.0278,0.990278
142,3,34,89.8611,0.879311
143,3,35,76.6667,0.684009
144,4,0,46.25,0.359818
145,4,1,99.0278,0.98993
146,4,2,98.3333,0.980724
147,4,3,87.0833,0.822763
148,4,4,96.9444,0.963992
149,4,5,53.3333,0.455518
150,4,6,89.8611,0.879311
151,4,7,89.8611,0.879311
152,4,8,50.9722,0.398141
153,4,9,99.0278,0.98933
154,4,10,89.8611,0.879311
155,4,11,96.9444,0.963992
156,4,12,69.3056,0.627323
157,4,13,97.5,0.972855
158,4,14,99.0278,0.986167
159,4,15,99.0278,0.990278
160,4,16,99.0278,0.990278
