hour,time,alive_percent,q_t,resilience
1,2025-01-01 00:00,0.0,0.0,0.0
2,2025-01-01 01:00,0.0,0.0,0.0
3,2025-01-01 02:00,0.0,0.0,0.0
4,2025-01-01 03:00,0.0,0.0,0.0
5,2025-01-01 04:00,0.0,0.0,0.0
6,2025-01-01 05:00,0.0,0.0,0.0
7,2025-01-01 06:00,0.0,0.0,0.0
8,2025-01-01 07:00,100.0,0.20391,0.025489
9,2025-01-01 08:00,100.0,0.706384,0.101144
10,2025-01-01 09:00,100.0,0.840205,0.17505
11,2025-01-01 10:00,100.0,0.909107,0.241782
12,2025-01-01 11:00,100.0,0.954803,0.301201
13,2025-01-01 12:00,100.0,0.952839,0.351327
14,2025-01-01 13:00,100.0,0.96112,0.394883
15,2025-01-01 14:00,100.0,0.948513,0.431792
16,2025-01-01 15:00,100.0,0.918099,0.462186
17,2025-01-01 16:00,100.0,0.840722,0.484453
18,2025-01-01 17:00,80.787,0.796561,0.501792
19,2025-01-01 18:00,78.7037,0.774512,0.516146
20,2025-01-01 19:00,76.6975,0.755305,0.528104
21,2025-01-01 20:00,73.1481,0.720901,0.537285
22,2025-01-01 21:00,70.0617,0.68961,0.544209
23,2025-01-01 22:00,67.4383,0.670704,0.549708
24,2025-01-01 23:00,66.7438,0.595068,0.551598
25,2025-01-02 00:00,56.8673,0.434464,0.546913
26,2025-01-02 01:00,42.5154,0.356773,0.5396
27,2025-01-02 02:00,30.8642,0.300866,0.530758
28,2025-01-02 03:00,29.3981,0.266147,0.521308
29,2025-01-02 04:00,23.9198,0.237657,0.511527
30,2025-01-02 05:00,23.534,0.231731,0.5022
31,2025-01-02 06:00,22.8395,0.226691,0.493313
32,2025-01-02 07:00,100.0,0.422384,0.491096
33,2025-01-02 08:00,100.0,0.850732,0.501994
34,2025-01-02 09:00,100.0,0.948162,0.515117
35,2025-01-02 10:00,100.0,0.993258,0.528778
36,2025-01-02 11:00,100.0,0.996363,0.541766
37,2025-01-02 12:00,100.0,0.997693,0.554089
38,2025-01-02 13:00,100.0,0.996311,0.565726
39,2025-01-02 14:00,100.0,0.992778,0.576676
40,2025-01-02 15:00,100.0,0.982122,0.586812
41,2025-01-02 16:00,100.0,0.93374,0.595274
42,2025-01-02 17:00,88.966,0.87964,0.602045
43,2025-01-02 18:00,86.9599,0.865136,0.608163
44,2025-01-02 19:00,86.1111,0.852623,0.613719
45,2025-01-02 20:00,84.3364,0.84045,0.618757
46,2025-01-02 21:00,83.7963,0.828239,0.623311
47,2025-01-02 22:00,81.3272,0.800352,0.627078
48,2025-01-02 23:00,78.9352,0.764239,0.629936
49,2025-01-03 00:00,64.892,0.645081,0.630245
50,2025-01-03 01:00,64.1204,0.637596,0.630392
51,2025-01-03 02:00,63.0401,0.627655,0.630338
52,2025-01-03 03:00,62.6543,0.619416,0.630128
53,2025-01-03 04:00,61.3426,0.602899,0.629614
54,2025-01-03 05:00,59.3364,0.581923,0.628731
55,2025-01-03 06:00,56.0185,0.557977,0.627445
56,2025-01-03 07:00,100.0,0.600707,0.626967
57,2025-01-03 08:00,100.0,0.745839,0.629053
58,2025-01-03 09:00,100.0,0.903185,0.633779
59,2025-01-03 10:00,100.0,0.969111,0.639463
60,2025-01-03 11:00,100.0,0.978887,0.64512
61,2025-01-03 12:00,100.0,0.969828,0.650443
62,2025-01-03 13:00,100.0,0.976522,0.655702
63,2025-01-03 14:00,100.0,0.972406,0.660729
64,2025-01-03 15:00,100.0,0.926022,0.664875
65,2025-01-03 16:00,100.0,0.878933,0.668168
66,2025-01-03 17:00,84.3364,0.829296,0.670609
67,2025-01-03 18:00,82.0216,0.799151,0.672528
68,2025-01-03 19:00,77.7006,0.768049,0.673932
69,2025-01-03 20:00,75.9259,0.738892,0.674874
70,2025-01-03 21:00,72.9167,0.719629,0.675513
71,2025-01-03 22:00,70.0617,0.690585,0.675725
72,2025-01-03 23:00,67.4383,0.655176,0.67544
