hour,time,alive_percent,resilience
1,2025-01-01 00:00,0.0,0.0
2,2025-01-01 01:00,0.0,0.0
3,2025-01-01 02:00,0.0,0.0
4,2025-01-01 03:00,0.0,0.0
5,2025-01-01 04:00,0.0,0.0
6,2025-01-01 05:00,0.0,0.0
7,2025-01-01 06:00,0.0,0.0
8,2025-01-01 07:00,6.0957,0.00762
9,2025-01-01 08:00,60.1852,0.073645
10,2025-01-01 09:00,73.2253,0.139506
11,2025-01-01 10:00,88.3488,0.207141
12,2025-01-01 11:00,91.8981,0.266461
13,2025-01-01 12:00,93.4414,0.317842
14,2025-01-01 13:00,94.213,0.362434
15,2025-01-01 14:00,93.75,0.400772
16,2025-01-01 15:00,90.9722,0.432581
17,2025-01-01 16:00,86.034,0.457743
18,2025-01-01 17:00,79.321,0.47638
19,2025-01-01 18:00,74.537,0.490538
20,2025-01-01 19:00,70.1389,0.50108
21,2025-01-01 20:00,63.0401,0.507238
22,2025-01-01 21:00,53.3951,0.508453
23,2025-01-01 22:00,46.142,0.506408
24,2025-01-01 23:00,39.429,0.501736
25,2025-01-02 00:00,29.9383,0.493642
26,2025-01-02 01:00,21.2191,0.482817
27,2025-01-02 02:00,16.5895,0.471079
28,2025-01-02 03:00,14.0432,0.45927
29,2025-01-02 04:00,11.5741,0.447424
30,2025-01-02 05:00,8.7963,0.435442
31,2025-01-02 06:00,5.4012,0.423138
32,2025-01-02 07:00,3.3179,0.410952
33,2025-01-02 08:00,80.5556,0.42291
34,2025-01-02 09:00,92.7469,0.43775
35,2025-01-02 10:00,97.3765,0.453064
36,2025-01-02 11:00,99.1512,0.468021
37,2025-01-02 12:00,99.2284,0.482191
38,2025-01-02 13:00,98.9969,0.495553
39,2025-01-02 14:00,98.4568,0.508092
40,2025-01-02 15:00,97.6852,0.519811
41,2025-01-02 16:00,95.5247,0.530431
42,2025-01-02 17:00,92.9012,0.539921
43,2025-01-02 18:00,91.5123,0.548647
44,2025-01-02 19:00,90.0463,0.556643
45,2025-01-02 20:00,88.5031,0.56394
46,2025-01-02 21:00,85.9568,0.570367
47,2025-01-02 22:00,83.0247,0.575896
48,2025-01-02 23:00,78.9352,0.580343
49,2025-01-03 00:00,74.8457,0.583774
50,2025-01-03 01:00,70.9105,0.586281
51,2025-01-03 02:00,66.2809,0.587781
52,2025-01-03 03:00,62.5772,0.588512
53,2025-01-03 04:00,57.4074,0.58824
54,2025-01-03 05:00,54.3981,0.58742
55,2025-01-03 06:00,50.3858,0.585901
56,2025-01-03 07:00,48.534,0.584105
57,2025-01-03 08:00,71.3735,0.586379
58,2025-01-03 09:00,88.3488,0.591502
59,2025-01-03 10:00,94.9074,0.597562
60,2025-01-03 11:00,96.2191,0.603639
61,2025-01-03 12:00,96.142,0.609505
62,2025-01-03 13:00,95.9877,0.615156
63,2025-01-03 14:00,95.2932,0.620517
64,2025-01-03 15:00,93.8272,0.625482
65,2025-01-03 16:00,90.8179,0.629831
66,2025-01-03 17:00,86.2654,0.633359
67,2025-01-03 18:00,82.7932,0.636263
68,2025-01-03 19:00,78.7037,0.63848
69,2025-01-03 20:00,72.8395,0.639784
70,2025-01-03 21:00,64.7377,0.639892
71,2025-01-03 22:00,59.4907,0.639258
72,2025-01-03 23:00,53.4722,0.637807
73,2025-01-04 00:00,48.3025,0.635686
74,2025-01-04 01:00,43.6728,0.632998
75,2025-01-04 02:00,40.1235,0.629907
76,2025-01-04 03:00,38.3488,0.626665
77,2025-01-04 04:00,35.1852,0.623096
78,2025-01-04 05:00,33.2562,0.619371
79,2025-01-04 06:00,31.5586,0.615526
80,2025-01-04 07:00,32.4074,0.611883
81,2025-01-04 08:00,64.8148,0.61233
82,2025-01-04 09:00,91.2037,0.615985
83,2025-01-04 10:00,95.5247,0.620073
84,2025-01-04 11:00,97.9167,0.624348
85,2025-01-04 12:00,97.9167,0.628522
86,2025-01-04 13:00,97.608,0.632564
87,2025-01-04 14:00,96.8364,0.636423
88,2025-01-04 15:00,95.4475,0.640038
89,2025-01-04 16:00,93.287,0.643328
90,2025-01-04 17:00,91.7438,0.646373
91,2025-01-04 18:00,90.2006,0.649183
92,2025-01-04 19:00,88.5031,0.651746
93,2025-01-04 20:00,86.034,0.653989
94,2025-01-04 21:00,84.0278,0.655971
95,2025-01-04 22:00,81.0185,0.657594
96,2025-01-04 23:00,77.1605,0.658782
97,2025-01-05 00:00,72.608,0.659476
98,2025-01-05 01:00,65.8179,0.659462
99,2025-01-05 02:00,61.6512,0.659029
100,2025-01-05 03:00,59.2593,0.658364
101,2025-01-05 04:00,56.0185,0.657392
102,2025-01-05 05:00,53.5494,0.656197
103,2025-01-05 06:00,49.537,0.654636
104,2025-01-05 07:00,48.1481,0.652971
105,2025-01-05 08:00,85.7253,0.654916
106,2025-01-05 09:00,96.8364,0.657873
107,2025-01-05 10:00,98.534,0.660934
108,2025-01-05 11:00,99.537,0.66403
109,2025-01-05 12:00,99.6142,0.667077
110,2025-01-05 13:00,99.2284,0.670034
111,2025-01-05 14:00,98.8426,0.672902
112,2025-01-05 15:00,98.071,0.67565
113,2025-01-05 16:00,96.8364,0.678241
114,2025-01-05 17:00,95.216,0.680644
115,2025-01-05 18:00,92.7469,0.68279
116,2025-01-05 19:00,91.6667,0.684806
117,2025-01-05 20:00,90.1235,0.686656
118,2025-01-05 21:00,88.6574,0.68835
119,2025-01-05 22:00,86.1111,0.689802
120,2025-01-05 23:00,83.1019,0.690979
121,2025-01-06 00:00,79.784,0.691862
122,2025-01-06 01:00,77.7778,0.692566
123,2025-01-06 02:00,75.3858,0.693064
124,2025-01-06 03:00,72.7623,0.693343
125,2025-01-06 04:00,69.5216,0.693358
126,2025-01-06 05:00,66.6667,0.693146
127,2025-01-06 06:00,65.5864,0.692853
128,2025-01-06 07:00,63.966,0.692437
129,2025-01-06 08:00,80.8642,0.693338
130,2025-01-06 09:00,91.358,0.695032
131,2025-01-06 10:00,96.2963,0.697077
132,2025-01-06 11:00,98.3796,0.699249
133,2025-01-06 12:00,98.4568,0.701395
134,2025-01-06 13:00,98.3796,0.703502
135,2025-01-06 14:00,97.608,0.705521
136,2025-01-06 15:00,96.8364,0.707454
137,2025-01-06 16:00,95.2932,0.709246
138,2025-01-06 17:00,92.9012,0.710838
139,2025-01-06 18:00,90.5093,0.712236
140,2025-01-06 19:00,88.2716,0.713453
141,2025-01-06 20:00,85.8025,0.714479
142,2025-01-06 21:00,82.4074,0.715251
143,2025-01-06 22:00,76.6975,0.715612
144,2025-01-06 23:00,71.3735,0.715599
145,2025-01-07 00:00,65.0463,0.71515
146,2025-01-07 01:00,61.4969,0.714464
147,2025-01-07 02:00,55.8642,0.713404
148,2025-01-07 03:00,52.7006,0.712144
149,2025-01-07 04:00,50.5401,0.710757
150,2025-01-07 05:00,48.9969,0.709285
151,2025-01-07 06:00,47.2994,0.70772
152,2025-01-07 07:00,48.2253,0.706237
153,2025-01-07 08:00,81.9444,0.706977
154,2025-01-07 09:00,94.5988,0.708529
155,2025-01-07 10:00,99.4599,0.710374
156,2025-01-07 11:00,99.8457,0.712221
157,2025-01-07 12:00,100.0,0.714054
158,2025-01-07 13:00,99.8457,0.715854
159,2025-01-07 14:00,99.537,0.717612
160,2025-01-07 15:00,98.9969,0.719314
161,2025-01-07 16:00,97.4537,0.720899
162,2025-01-07 17:00,95.4475,0.722341
163,2025-01-07 18:00,92.8241,0.723604
164,2025-01-07 19:00,89.429,0.724645
165,2025-01-07 20:00,85.8796,0.725458
166,2025-01-07 21:00,82.3302,0.726048
167,2025-01-07 22:00,78.3951,0.726394
168,2025-01-07 23:00,73.534,0.726448
169,2025-01-08 00:00,67.6698,0.726153
170,2025-01-08 01:00,63.1944,0.725599
171,2025-01-08 02:00,60.6481,0.724903
172,2025-01-08 03:00,58.179,0.72407
173,2025-01-08 04:00,56.0957,0.723128
174,2025-01-08 05:00,53.858,0.722067
175,2025-01-08 06:00,52.1605,0.720922
176,2025-01-08 07:00,52.5463,0.719811
177,2025-01-08 08:00,80.0154,0.720265
178,2025-01-08 09:00,94.9846,0.721555
179,2025-01-08 10:00,98.8426,0.723046
180,2025-01-08 11:00,99.6142,0.724563
181,2025-01-08 12:00,99.6142,0.726063
182,2025-01-08 13:00,99.6142,0.727547
183,2025-01-08 14:00,99.0741,0.728985
184,2025-01-08 15:00,98.6883,0.730387
185,2025-01-08 16:00,96.6821,0.731665
186,2025-01-08 17:00,92.9784,0.73273
187,2025-01-08 18:00,90.4321,0.733648
188,2025-01-08 19:00,87.8086,0.734416
189,2025-01-08 20:00,85.4167,0.73505
190,2025-01-08 21:00,82.1759,0.735506
191,2025-01-08 22:00,79.8611,0.735836
192,2025-01-08 23:00,75.3086,0.735926
193,2025-01-09 00:00,71.2191,0.735803
194,2025-01-09 01:00,67.5926,0.735495
195,2025-01-09 02:00,64.5833,0.735035
196,2025-01-09 03:00,61.4969,0.734422
197,2025-01-09 04:00,59.3364,0.733706
198,2025-01-09 05:00,57.8704,0.732923
199,2025-01-09 06:00,54.8611,0.731997
200,2025-01-09 07:00,56.0957,0.731142
201,2025-01-09 08:00,86.9599,0.731831
202,2025-01-09 09:00,96.5278,0.732986
203,2025-01-09 10:00,99.0741,0.734256
204,2025-01-09 11:00,99.6914,0.735544
205,2025-01-09 12:00,99.6914,0.736819
206,2025-01-09 13:00,99.6914,0.738081
207,2025-01-09 14:00,99.537,0.739324
208,2025-01-09 15:00,98.9198,0.740526
209,2025-01-09 16:00,97.608,0.741653
210,2025-01-09 17:00,95.0617,0.742648
211,2025-01-09 18:00,92.6698,0.74352
212,2025-01-09 19:00,90.4321,0.744278
213,2025-01-09 20:00,87.2685,0.744881
214,2025-01-09 21:00,82.7932,0.745269
215,2025-01-09 22:00,77.5463,0.74541
216,2025-01-09 23:00,71.7593,0.745281
217,2025-01-10 00:00,66.1265,0.744894
218,2025-01-10 01:00,61.4969,0.744298
219,2025-01-10 02:00,57.4074,0.743521
220,2025-01-10 03:00,54.0123,0.742596
221,2025-01-10 04:00,51.3889,0.741561
222,2025-01-10 05:00,50.0,0.740473
223,2025-01-10 06:00,48.2253,0.739315
224,2025-01-10 07:00,48.2253,0.738168
225,2025-01-10 08:00,77.3148,0.738323
226,2025-01-10 09:00,95.3704,0.739276
227,2025-01-10 10:00,99.2284,0.740391
228,2025-01-10 11:00,99.6142,0.741512
229,2025-01-10 12:00,99.6914,0.742628
230,2025-01-10 13:00,99.6142,0.74373
231,2025-01-10 14:00,99.3827,0.744813
232,2025-01-10 15:00,99.1512,0.745876
233,2025-01-10 16:00,98.071,0.746884
234,2025-01-10 17:00,96.4506,0.747814
235,2025-01-10 18:00,93.8272,0.748624
