day,date,alive_percent,critical_percent,permadead_percent,resilience
1,2025-01-01,59.2721,1.7265,0.0,0.483677
2,2025-01-02,76.5593,0.9484,0.0,0.699646
3,2025-01-03,75.1832,1.2474,0.0,0.671751
4,2025-01-04,77.003,0.9709,0.0,0.70315
5,2025-01-05,77.2666,0.8102,0.0,0.724671
6,2025-01-06,75.2508,0.9356,0.0,0.684355
7,2025-01-07,75.1961,1.0288,0.0,0.677563
8,2025-01-08,75.9163,0.8938,0.0,0.696894
9,2025-01-09,76.2281,0.823,0.0,0.715483
10,2025-01-10,75.3794,1.2732,0.0,0.68871
11,2025-01-11,77.9192,0.8455,0.0,0.730536
12,2025-01-12,79.276,0.8102,0.0,0.742296
13,2025-01-13,77.572,0.8005,0.0,0.717364
14,2025-01-14,76.5561,0.807,0.0,0.702748
15,2025-01-15,39.683,0.0,45.3704,0.391127
16,2025-01-16,40.6668,0.0,46.3735,0.393774
17,2025-01-17,53.3725,0.0,46.3735,0.533227
18,2025-01-18,53.334,0.0,46.3735,0.532905
19,2025-01-19,53.395,0.0,46.3735,0.531538
20,2025-01-20,53.4722,0.2122,46.3735,0.529664
21,2025-01-21,53.1378,0.1061,46.3735,0.524414
22,2025-01-22,53.514,0.0,46.3735,0.53514
23,2025-01-23,53.4336,0.0,46.3735,0.533813
24,2025-01-24,53.2922,0.0,46.3735,0.530573
25,2025-01-25,53.0317,0.1061,46.3735,0.525878
26,2025-01-26,51.7232,0.0,46.3735,0.512721
27,2025-01-27,53.2021,0.1061,46.3735,0.526271
28,2025-01-28,53.1153,0.0,46.3735,0.529604
29,2025-01-29,53.3114,0.0,46.3735,0.532818
30,2025-01-30,53.2311,0.0,46.3735,0.531158
