hour,time,alive_percent,resilience
1,2025-01-01 00:00,0.0,0.0
2,2025-01-01 01:00,0.0,0.0
3,2025-01-01 02:00,0.0,0.0
4,2025-01-01 03:00,0.0,0.0
5,2025-01-01 04:00,0.0,0.0
6,2025-01-01 05:00,0.0,0.0
7,2025-01-01 06:00,0.0,0.0
8,2025-01-01 07:00,100.0,0.034044
9,2025-01-01 08:00,100.0,0.10525
10,2025-01-01 09:00,100.0,0.171461
11,2025-01-01 10:00,100.0,0.230879
12,2025-01-01 11:00,100.0,0.2822
13,2025-01-01 12:00,100.0,0.322088
14,2025-01-01 13:00,100.0,0.359433
15,2025-01-01 14:00,100.0,0.39238
16,2025-01-01 15:00,100.0,0.419816
17,2025-01-01 16:00,100.0,0.43807
18,2025-01-01 17:00,67.284,0.44999
19,2025-01-01 18:00,61.4969,0.458508
20,2025-01-01 19:00,60.9568,0.465659
21,2025-01-01 20:00,59.5679,0.471842
22,2025-01-01 21:00,59.4136,0.477161
23,2025-01-01 22:00,58.4105,0.481004
24,2025-01-01 23:00,55.4012,0.483677
25,2025-01-02 00:00,54.3981,0.486086
26,2025-01-02 01:00,54.321,0.487864
27,2025-01-02 02:00,52.8549,0.489371
28,2025-01-02 03:00,52.8549,0.49077
29,2025-01-02 04:00,52.8549,0.492073
30,2025-01-02 05:00,52.8549,0.493289
31,2025-01-02 06:00,52.8549,0.494379
32,2025-01-02 07:00,100.0,0.496585
33,2025-01-02 08:00,100.0,0.505584
34,2025-01-02 09:00,100.0,0.515827
35,2025-01-02 10:00,100.0,0.526913
36,2025-01-02 11:00,100.0,0.538284
37,2025-01-02 12:00,100.0,0.548464
38,2025-01-02 13:00,100.0,0.557926
39,2025-01-02 14:00,100.0,0.567353
40,2025-01-02 15:00,100.0,0.575398
41,2025-01-02 16:00,100.0,0.580723
42,2025-01-02 17:00,71.9907,0.583986
43,2025-01-02 18:00,71.6821,0.586924
44,2025-01-02 19:00,69.9846,0.589166
45,2025-01-02 20:00,67.6698,0.590898
46,2025-01-02 21:00,65.2778,0.592045
47,2025-01-02 22:00,59.5679,0.591941
48,2025-01-02 23:00,58.2562,0.591662
49,2025-01-03 00:00,57.716,0.591131
50,2025-01-03 01:00,55.7099,0.59041
51,2025-01-03 02:00,55.2469,0.589627
52,2025-01-03 03:00,54.0895,0.588619
53,2025-01-03 04:00,52.8549,0.587486
54,2025-01-03 05:00,52.8549,0.586394
55,2025-01-03 06:00,52.8549,0.585189
56,2025-01-03 07:00,100.0,0.58462
57,2025-01-03 08:00,100.0,0.587401
58,2025-01-03 09:00,100.0,0.591894
59,2025-01-03 10:00,100.0,0.597166
60,2025-01-03 11:00,100.0,0.602392
61,2025-01-03 12:00,100.0,0.606967
62,2025-01-03 13:00,100.0,0.611047
63,2025-01-03 14:00,100.0,0.615182
64,2025-01-03 15:00,100.0,0.618578
65,2025-01-03 16:00,100.0,0.620668
66,2025-01-03 17:00,69.8302,0.621629
67,2025-01-03 18:00,67.7469,0.622266
68,2025-01-03 19:00,59.4907,0.621798
69,2025-01-03 20:00,58.7963,0.621222
70,2025-01-03 21:00,57.5617,0.620487
71,2025-01-03 22:00,55.1698,0.619463
72,2025-01-03 23:00,54.4753,0.618358
73,2025-01-04 00:00,53.5494,0.617197
74,2025-01-04 01:00,53.1636,0.616034
75,2025-01-04 02:00,52.9321,0.614873
76,2025-01-04 03:00,52.8549,0.613737
77,2025-01-04 04:00,52.8549,0.612631
78,2025-01-04 05:00,52.8549,0.611553
79,2025-01-04 06:00,52.8549,0.610496
80,2025-01-04 07:00,100.0,0.609903
81,2025-01-04 08:00,100.0,0.611391
82,2025-01-04 09:00,100.0,0.614525
83,2025-01-04 10:00,100.0,0.617938
84,2025-01-04 11:00,100.0,0.621892
85,2025-01-04 12:00,100.0,0.625612
86,2025-01-04 13:00,100.0,0.629024
87,2025-01-04 14:00,100.0,0.632347
88,2025-01-04 15:00,100.0,0.635189
89,2025-01-04 16:00,100.0,0.637294
90,2025-01-04 17:00,78.9352,0.638908
91,2025-01-04 18:00,76.5432,0.640272
92,2025-01-04 19:00,75.5401,0.64116
93,2025-01-04 20:00,67.5154,0.641263
94,2025-01-04 21:00,62.1914,0.64086
95,2025-01-04 22:00,58.7963,0.640237
96,2025-01-04 23:00,57.4846,0.639556
97,2025-01-05 00:00,57.4846,0.638837
98,2025-01-05 01:00,55.3241,0.637956
99,2025-01-05 02:00,55.2469,0.637071
100,2025-01-05 03:00,51.466,0.635812
101,2025-01-05 04:00,49.6914,0.634411
102,2025-01-05 05:00,49.2284,0.633018
103,2025-01-05 06:00,49.2284,0.631651
104,2025-01-05 07:00,100.0,0.631021
105,2025-01-05 08:00,100.0,0.633001
106,2025-01-05 09:00,100.0,0.635839
107,2025-01-05 10:00,100.0,0.639005
108,2025-01-05 11:00,100.0,0.642292
109,2025-01-05 12:00,100.0,0.645501
110,2025-01-05 13:00,100.0,0.648306
111,2025-01-05 14:00,100.0,0.651006
112,2025-01-05 15:00,100.0,0.653462
113,2025-01-05 16:00,100.0,0.65525
114,2025-01-05 17:00,80.8642,0.656543
115,2025-01-05 18:00,79.3981,0.65755
116,2025-01-05 19:00,76.0802,0.658157
117,2025-01-05 20:00,70.3704,0.65835
118,2025-01-05 21:00,63.5802,0.65794
119,2025-01-05 22:00,59.6451,0.657338
120,2025-01-05 23:00,56.7901,0.656579
121,2025-01-06 00:00,56.5586,0.655771
122,2025-01-06 01:00,54.2438,0.654779
123,2025-01-06 02:00,53.2407,0.65378
124,2025-01-06 03:00,53.1636,0.652778
125,2025-01-06 04:00,52.8549,0.651784
126,2025-01-06 05:00,52.8549,0.650806
127,2025-01-06 06:00,52.8549,0.649837
128,2025-01-06 07:00,100.0,0.649229
129,2025-01-06 08:00,100.0,0.650427
130,2025-01-06 09:00,100.0,0.652108
131,2025-01-06 10:00,100.0,0.654099
132,2025-01-06 11:00,100.0,0.65626
133,2025-01-06 12:00,100.0,0.658284
134,2025-01-06 13:00,100.0,0.660106
135,2025-01-06 14:00,100.0,0.661986
136,2025-01-06 15:00,100.0,0.663465
137,2025-01-06 16:00,100.0,0.664207
138,2025-01-06 17:00,70.8333,0.664389
139,2025-01-06 18:00,68.1327,0.664228
140,2025-01-06 19:00,60.9568,0.663819
141,2025-01-06 20:00,59.4136,0.663267
142,2025-01-06 21:00,58.4105,0.662686
143,2025-01-06 22:00,57.4074,0.66199
144,2025-01-06 23:00,55.0926,0.661208
145,2025-01-07 00:00,54.7068,0.660402
146,2025-01-07 01:00,54.0895,0.659577
147,2025-01-07 02:00,53.9352,0.658755
148,2025-01-07 03:00,53.7809,0.657937
149,2025-01-07 04:00,53.7809,0.657131
150,2025-01-07 05:00,53.7809,0.656335
151,2025-01-07 06:00,51.6975,0.655412
152,2025-01-07 07:00,100.0,0.654846
153,2025-01-07 08:00,100.0,0.655981
154,2025-01-07 09:00,100.0,0.657486
155,2025-01-07 10:00,100.0,0.659181
156,2025-01-07 11:00,100.0,0.660925
157,2025-01-07 12:00,100.0,0.662445
158,2025-01-07 13:00,100.0,0.663818
159,2025-01-07 14:00,100.0,0.664973
160,2025-01-07 15:00,100.0,0.665883
161,2025-01-07 16:00,100.0,0.666153
162,2025-01-07 17:00,66.6667,0.666129
163,2025-01-07 18:00,65.5093,0.666057
164,2025-01-07 19:00,65.4321,0.665851
165,2025-01-07 20:00,61.8827,0.665535
166,2025-01-07 21:00,59.4907,0.664975
167,2025-01-07 22:00,55.4012,0.664285
168,2025-01-07 23:00,54.5525,0.663545
169,2025-01-08 00:00,53.9352,0.662801
170,2025-01-08 01:00,53.0093,0.66202
171,2025-01-08 02:00,53.0093,0.661249
172,2025-01-08 03:00,53.0093,0.660483
173,2025-01-08 04:00,52.9321,0.659722
174,2025-01-08 05:00,52.7778,0.658961
175,2025-01-08 06:00,52.7006,0.658207
176,2025-01-08 07:00,100.0,0.657737
177,2025-01-08 08:00,100.0,0.658522
178,2025-01-08 09:00,100.0,0.659867
179,2025-01-08 10:00,100.0,0.661449
180,2025-01-08 11:00,100.0,0.663066
181,2025-01-08 12:00,100.0,0.664567
182,2025-01-08 13:00,100.0,0.66595
183,2025-01-08 14:00,100.0,0.667366
184,2025-01-08 15:00,100.0,0.668669
185,2025-01-08 16:00,100.0,0.669517
186,2025-01-08 17:00,79.2438,0.669916
187,2025-01-08 18:00,71.7593,0.669978
188,2025-01-08 19:00,65.8951,0.669906
189,2025-01-08 20:00,65.4321,0.669455
190,2025-01-08 21:00,56.3272,0.668896
191,2025-01-08 22:00,56.25,0.668325
192,2025-01-08 23:00,55.7099,0.667713
193,2025-01-09 00:00,54.3981,0.667043
194,2025-01-09 01:00,53.5494,0.666333
195,2025-01-09 02:00,52.0833,0.665586
196,2025-01-09 03:00,52.0062,0.664843
197,2025-01-09 04:00,52.0062,0.664108
198,2025-01-09 05:00,52.0062,0.663374
199,2025-01-09 06:00,51.6975,0.662635
200,2025-01-09 07:00,100.0,0.662198
201,2025-01-09 08:00,100.0,0.663115
202,2025-01-09 09:00,100.0,0.664381
203,2025-01-09 10:00,100.0,0.665851
204,2025-01-09 11:00,100.0,0.667357
205,2025-01-09 12:00,100.0,0.668943
206,2025-01-09 13:00,100.0,0.67036
207,2025-01-09 14:00,100.0,0.671811
208,2025-01-09 15:00,100.0,0.673105
209,2025-01-09 16:00,100.0,0.673895
210,2025-01-09 17:00,74.9228,0.674219
211,2025-01-09 18:00,73.6111,0.674477
212,2025-01-09 19:00,71.6821,0.67462
213,2025-01-09 20:00,69.7531,0.6746
214,2025-01-09 21:00,60.0309,0.674135
215,2025-01-09 22:00,56.4043,0.673596
216,2025-01-09 23:00,55.3241,0.673021
217,2025-01-10 00:00,54.5525,0.672409
218,2025-01-10 01:00,52.7778,0.671745
219,2025-01-10 02:00,52.7006,0.671074
220,2025-01-10 03:00,52.4691,0.669921
221,2025-01-10 04:00,39.892,0.668695
222,2025-01-10 05:00,39.892,0.66748
223,2025-01-10 06:00,39.8148,0.666219
224,2025-01-10 07:00,100.0,0.665091
225,2025-01-10 08:00,100.0,0.665673
226,2025-01-10 09:00,100.0,0.666696
227,2025-01-10 10:00,100.0,0.66791
228,2025-01-10 11:00,100.0,0.669197
229,2025-01-10 12:00,100.0,0.67045
230,2025-01-10 13:00,100.0,0.671595
231,2025-01-10 14:00,100.0,0.672779
232,2025-01-10 15:00,100.0,0.673938
233,2025-01-10 16:00,100.0,0.674858
234,2025-01-10 17:00,79.5525,0.675368
235,2025-01-10 18:00,78.858,0.675806
236,2025-01-10 19:00,77.1605,0.676036
237,2025-01-10 20:00,66.358,0.675856
238,2025-01-10 21:00,61.1111,0.675528
239,2025-01-10 22:00,58.2562,0.675087
