day,date,alive_percent,q_t,resilience
1,2025-01-01,64.9788,0.602464,0.602464
2,2025-01-02,77.9128,0.745212,0.745212
3,2025-01-03,91.7985,0.899415,0.899415
4,2025-01-04,88.0176,0.856677,0.856677
5,2025-01-05,94.8399,0.937275,0.937275
6,2025-01-06,96.6017,0.956835,0.956835
7,2025-01-07,92.7662,0.914914,0.914914
8,2025-01-08,93.5925,0.923511,0.923511
9,2025-01-09,94.7595,0.938038,0.938038
10,2025-01-10,93.5892,0.921161,0.921161
11,2025-01-11,97.6916,0.970344,0.970344
12,2025-01-12,98.7976,0.983466,0.983466
13,2025-01-13,99.0451,0.985555,0.985555
14,2025-01-14,98.4986,0.979994,0.979994
15,2025-01-15,85.3717,0.852201,0.852201
16,2025-01-16,92.7887,0.918928,0.918928
17,2025-01-17,98.5725,0.98089,0.98089
18,2025-01-18,96.621,0.959102,0.959102
19,2025-01-19,95.1453,0.937083,0.937083
20,2025-01-20,92.689,0.913405,0.913405
21,2025-01-21,97.0293,0.956634,0.956634
22,2025-01-22,96.2481,0.955357,0.955357
23,2025-01-23,99.1995,0.988079,0.988079
24,2025-01-24,98.3764,0.978366,0.978366
25,2025-01-25,95.9041,0.948844,0.948844
26,2025-01-26,95.0617,0.938811,0.938811
27,2025-01-27,96.8847,0.956849,0.956849
28,2025-01-28,98.5307,0.979409,0.979409
29,2025-01-29,98.235,0.976043,0.976043
30,2025-01-30,94.7981,0.934846,0.934846
