hour,time,alive_percent,critical_percent,permadead_percent,q_t,resilience
1,2025-01-01 00:00,0.0,0.0,0.0,0.0,0.0
2,2025-01-01 01:00,0.0,0.0,0.0,0.0,0.0
3,2025-01-01 02:00,0.0,0.0,0.0,0.0,0.0
4,2025-01-01 03:00,0.0,0.0,0.0,0.0,0.0
5,2025-01-01 04:00,0.0,0.0,0.0,0.0,0.0
6,2025-01-01 05:00,0.0,0.0,0.0,0.0,0.0
7,2025-01-01 06:00,0.0,0.0,0.0,0.0,0.0
8,2025-01-01 07:00,100.0,31.1728,0.0,0.272356,0.034044
9,2025-01-01 08:00,100.0,0.6173,0.0,0.757032,0.114376
10,2025-01-01 09:00,100.0,0.0,0.0,0.842663,0.187205
11,2025-01-01 10:00,100.0,0.0,0.0,0.908014,0.252733
12,2025-01-01 11:00,100.0,0.0,0.0,0.933466,0.309461
13,2025-01-01 12:00,100.0,0.0,0.0,0.91059,0.355702
14,2025-01-01 13:00,100.0,0.0,0.0,0.922958,0.39622
15,2025-01-01 14:00,100.0,0.0,0.0,0.941472,0.43257
16,2025-01-01 15:00,100.0,0.0,0.0,0.913549,0.462631
17,2025-01-01 16:00,100.0,3.2407,0.0,0.769306,0.480671
18,2025-01-01 17:00,59.6451,0.2315,0.0,0.584031,0.486413
19,2025-01-01 18:00,54.1667,0.0772,0.0,0.530071,0.488711
20,2025-01-01 19:00,48.534,0.0772,0.0,0.477545,0.488153
21,2025-01-01 20:00,44.4444,0.0,0.0,0.435208,0.485631
22,2025-01-01 21:00,38.2716,0.0,0.0,0.370733,0.480409
23,2025-01-01 22:00,32.3302,0.1543,0.0,0.317516,0.473327
24,2025-01-01 23:00,29.0895,0.0772,0.0,0.284074,0.465441
25,2025-01-02 00:00,25.5401,0.0,0.0,0.247271,0.456714
26,2025-01-02 01:00,21.9136,0.1543,0.0,0.215177,0.447424
27,2025-01-02 02:00,19.5988,0.0,0.0,0.193414,0.438017
28,2025-01-02 03:00,17.1296,0.0772,0.0,0.16746,0.428354
29,2025-01-02 04:00,14.2747,0.0772,0.0,0.136668,0.418296
30,2025-01-02 05:00,10.4167,0.0,0.0,0.101779,0.407745
31,2025-01-02 06:00,8.2562,0.0772,0.0,0.080871,0.397201
32,2025-01-02 07:00,100.0,21.6821,0.0,0.430383,0.398238
33,2025-01-02 08:00,100.0,0.0,0.0,0.879019,0.412807
34,2025-01-02 09:00,100.0,0.0,0.0,0.939333,0.428293
35,2025-01-02 10:00,100.0,0.0,0.0,0.972331,0.443837
36,2025-01-02 11:00,100.0,0.0,0.0,0.9915,0.45905
37,2025-01-02 12:00,100.0,0.0,0.0,0.987885,0.473343
38,2025-01-02 13:00,100.0,0.0,0.0,0.985768,0.486827
39,2025-01-02 14:00,100.0,0.0,0.0,0.986531,0.49964
40,2025-01-02 15:00,100.0,0.0,0.0,0.975589,0.511539
41,2025-01-02 16:00,100.0,0.0,0.0,0.924962,0.521623
42,2025-01-02 17:00,85.7253,0.1543,0.0,0.842725,0.529268
43,2025-01-02 18:00,77.5463,0.1543,0.0,0.760724,0.534651
44,2025-01-02 19:00,70.8333,0.0772,0.0,0.69597,0.538317
45,2025-01-02 20:00,60.8796,0.3086,0.0,0.589527,0.539455
46,2025-01-02 21:00,49.9228,0.0772,0.0,0.487171,0.538318
47,2025-01-02 22:00,42.5154,0.2315,0.0,0.407446,0.535534
48,2025-01-02 23:00,33.7963,0.0772,0.0,0.327399,0.531198
49,2025-01-03 00:00,28.3951,0.0,0.0,0.276466,0.525999
50,2025-01-03 01:00,22.5309,0.2315,0.0,0.215824,0.519796
51,2025-01-03 02:00,18.6728,0.0,0.0,0.182855,0.513189
52,2025-01-03 03:00,15.6636,0.0,0.0,0.152356,0.50625
53,2025-01-03 04:00,12.1142,0.0,0.0,0.116335,0.498893
54,2025-01-03 05:00,8.7963,0.1543,0.0,0.084792,0.491224
55,2025-01-03 06:00,6.4043,0.0772,0.0,0.060731,0.483397
56,2025-01-03 07:00,100.0,28.6265,0.0,0.355182,0.481108
57,2025-01-03 08:00,100.0,0.0,0.0,0.773212,0.486232
58,2025-01-03 09:00,100.0,0.0,0.0,0.930292,0.493888
59,2025-01-03 10:00,100.0,0.0,0.0,0.97124,0.501979
60,2025-01-03 11:00,100.0,0.0,0.0,0.972344,0.509819
61,2025-01-03 12:00,100.0,0.0,0.0,0.962318,0.517237
62,2025-01-03 13:00,100.0,0.0,0.0,0.949497,0.524209
63,2025-01-03 14:00,100.0,0.0,0.0,0.964336,0.531195
64,2025-01-03 15:00,100.0,0.0,0.0,0.919461,0.537261
65,2025-01-03 16:00,100.0,0.3858,0.0,0.832303,0.5418
66,2025-01-03 17:00,68.8272,0.2315,0.0,0.666183,0.543685
67,2025-01-03 18:00,59.0278,0.3086,0.0,0.577726,0.544193
68,2025-01-03 19:00,52.8549,0.0772,0.0,0.514617,0.543758
69,2025-01-03 20:00,45.6019,0.0772,0.0,0.445467,0.542334
70,2025-01-03 21:00,38.8889,0.2315,0.0,0.377957,0.539985
71,2025-01-03 22:00,33.5648,0.0,0.0,0.326319,0.536976
72,2025-01-03 23:00,29.0123,0.0772,0.0,0.285398,0.533482
73,2025-01-04 00:00,25.0772,0.3086,0.0,0.243488,0.529509
74,2025-01-04 01:00,21.7593,0.0772,0.0,0.212914,0.525231
75,2025-01-04 02:00,18.287,0.0,0.0,0.178972,0.520614
76,2025-01-04 03:00,15.8179,0.0,0.0,0.15666,0.515825
77,2025-01-04 04:00,13.2716,0.0,0.0,0.127643,0.510784
78,2025-01-04 05:00,10.2623,0.0,0.0,0.099055,0.505506
79,2025-01-04 06:00,8.642,0.0772,0.0,0.085265,0.500186
80,2025-01-04 07:00,100.0,22.4537,0.0,0.360238,0.498437
81,2025-01-04 08:00,100.0,0.0,0.0,0.780393,0.501918
82,2025-01-04 09:00,100.0,0.0,0.0,0.947415,0.507351
83,2025-01-04 10:00,100.0,0.0,0.0,0.978401,0.513026
84,2025-01-04 11:00,100.0,0.0,0.0,0.993489,0.518746
85,2025-01-04 12:00,100.0,0.0,0.0,0.991307,0.524305
86,2025-01-04 13:00,100.0,0.0,0.0,0.98418,0.529653
87,2025-01-04 14:00,100.0,0.0,0.0,0.988959,0.534932
88,2025-01-04 15:00,100.0,0.0,0.0,0.961956,0.539784
89,2025-01-04 16:00,100.0,0.463,0.0,0.911059,0.543956
90,2025-01-04 17:00,84.0278,0.1543,0.0,0.830535,0.54714
91,2025-01-04 18:00,77.392,0.1543,0.0,0.761916,0.5495
92,2025-01-04 19:00,70.8333,0.0772,0.0,0.701516,0.551153
93,2025-01-04 20:00,64.6605,0.1543,0.0,0.631936,0.552021
94,2025-01-04 21:00,56.4043,0.1543,0.0,0.54774,0.551976
95,2025-01-04 22:00,46.9136,0.0,0.0,0.452206,0.550926
96,2025-01-04 23:00,38.5031,0.0772,0.0,0.37412,0.549084
97,2025-01-05 00:00,30.5556,0.0,0.0,0.298853,0.546504
98,2025-01-05 01:00,26.3117,0.2315,0.0,0.254922,0.543529
99,2025-01-05 02:00,21.6821,0.0772,0.0,0.211137,0.540171
100,2025-01-05 03:00,17.2068,0.0,0.0,0.169674,0.536466
101,2025-01-05 04:00,15.2006,0.0772,0.0,0.14682,0.532609
102,2025-01-05 05:00,12.1914,0.0,0.0,0.118465,0.528548
103,2025-01-05 06:00,9.3364,0.0,0.0,0.091031,0.524301
104,2025-01-05 07:00,100.0,18.3642,0.0,0.377663,0.522891
105,2025-01-05 08:00,100.0,0.0,0.0,0.917181,0.526646
106,2025-01-05 09:00,100.0,0.0,0.0,0.990181,0.531019
107,2025-01-05 10:00,100.0,0.0,0.0,0.998586,0.535389
108,2025-01-05 11:00,100.0,0.0,0.0,0.999907,0.53969
109,2025-01-05 12:00,100.0,0.0,0.0,0.99972,0.54391
110,2025-01-05 13:00,100.0,0.0,0.0,0.997913,0.548037
111,2025-01-05 14:00,100.0,0.0,0.0,0.997676,0.552088
112,2025-01-05 15:00,100.0,0.0,0.0,0.994294,0.556036
113,2025-01-05 16:00,100.0,0.0,0.0,0.971064,0.559709
114,2025-01-05 17:00,92.9012,0.0772,0.0,0.915066,0.562826
115,2025-01-05 18:00,86.9599,0.0772,0.0,0.851875,0.56534
116,2025-01-05 19:00,80.5556,0.3858,0.0,0.784181,0.567226
117,2025-01-05 20:00,70.216,0.1543,0.0,0.688789,0.568265
118,2025-01-05 21:00,61.034,0.0,0.0,0.595184,0.568494
119,2025-01-05 22:00,50.5401,0.0,0.0,0.485304,0.567795
120,2025-01-05 23:00,38.5802,0.0772,0.0,0.3701,0.566147
121,2025-01-06 00:00,31.9444,0.0772,0.0,0.314364,0.564066
122,2025-01-06 01:00,28.5494,0.0772,0.0,0.280925,0.561745
123,2025-01-06 02:00,25.6944,0.1543,0.0,0.251351,0.559222
124,2025-01-06 03:00,23.071,0.0,0.0,0.224719,0.556524
125,2025-01-06 04:00,19.0586,0.0772,0.0,0.187025,0.553568
126,2025-01-06 05:00,15.5864,0.0772,0.0,0.150693,0.550371
127,2025-01-06 06:00,12.5,0.0,0.0,0.122509,0.547002
128,2025-01-06 07:00,100.0,19.3673,0.0,0.363084,0.545565
129,2025-01-06 08:00,100.0,0.0,0.0,0.867312,0.548059
130,2025-01-06 09:00,100.0,0.0,0.0,0.949552,0.551148
131,2025-01-06 10:00,100.0,0.0,0.0,0.983361,0.554447
132,2025-01-06 11:00,100.0,0.0,0.0,0.989169,0.55774
133,2025-01-06 12:00,100.0,0.0,0.0,0.989113,0.560984
134,2025-01-06 13:00,100.0,0.0,0.0,0.975448,0.564077
135,2025-01-06 14:00,100.0,0.0,0.0,0.969003,0.567076
136,2025-01-06 15:00,100.0,0.0,0.0,0.938906,0.56981
137,2025-01-06 16:00,100.0,0.463,0.0,0.858535,0.571918
138,2025-01-06 17:00,74.2284,0.1543,0.0,0.728753,0.573054
139,2025-01-06 18:00,65.5864,0.2315,0.0,0.644084,0.573565
140,2025-01-06 19:00,58.0247,0.2315,0.0,0.567108,0.573519
141,2025-01-06 20:00,50.463,0.3858,0.0,0.482324,0.572872
142,2025-01-06 21:00,38.6574,0.0772,0.0,0.374969,0.571479
143,2025-01-06 22:00,33.3333,0.0,0.0,0.323733,0.569746
144,2025-01-06 23:00,27.6235,0.0772,0.0,0.269009,0.567658
145,2025-01-07 00:00,23.1481,0.0,0.0,0.230377,0.565332
146,2025-01-07 01:00,20.216,0.0772,0.0,0.198239,0.562817
147,2025-01-07 02:00,16.9753,0.0772,0.0,0.163713,0.560102
148,2025-01-07 03:00,13.5031,0.0772,0.0,0.130959,0.557203
149,2025-01-07 04:00,9.8765,0.0772,0.0,0.095595,0.554105
150,2025-01-07 05:00,8.0247,0.0,0.0,0.078759,0.550936
151,2025-01-07 06:00,6.0185,0.0,0.0,0.0574,0.547667
152,2025-01-07 07:00,100.0,18.1327,0.0,0.412387,0.546777
153,2025-01-07 08:00,100.0,0.0,0.0,0.885248,0.548989
154,2025-01-07 09:00,100.0,0.0,0.0,0.959905,0.551658
155,2025-01-07 10:00,100.0,0.0,0.0,0.987298,0.554468
156,2025-01-07 11:00,100.0,0.0,0.0,0.985753,0.557233
157,2025-01-07 12:00,100.0,0.0,0.0,0.982519,0.559942
158,2025-01-07 13:00,100.0,0.0,0.0,0.975603,0.562572
159,2025-01-07 14:00,100.0,0.0,0.0,0.951858,0.565021
160,2025-01-07 15:00,100.0,0.0,0.0,0.914995,0.567208
161,2025-01-07 16:00,100.0,1.7747,0.0,0.824784,0.568808
162,2025-01-07 17:00,70.679,0.0,0.0,0.695396,0.569589
163,2025-01-07 18:00,61.9599,0.0772,0.0,0.603596,0.569798
164,2025-01-07 19:00,52.9321,0.1543,0.0,0.514053,0.569458
165,2025-01-07 20:00,42.9784,0.0,0.0,0.421108,0.568559
166,2025-01-07 21:00,37.4228,0.0,0.0,0.362471,0.567318
167,2025-01-07 22:00,31.5586,0.0,0.0,0.311362,0.565785
168,2025-01-07 23:00,28.858,0.0772,0.0,0.284117,0.564108
169,2025-01-08 00:00,25.0772,0.0,0.0,0.246081,0.562226
170,2025-01-08 01:00,21.2963,0.0772,0.0,0.20918,0.56015
171,2025-01-08 02:00,17.4383,0.0,0.0,0.169235,0.557864
172,2025-01-08 03:00,14.1204,0.0,0.0,0.138717,0.555427
173,2025-01-08 04:00,11.4198,0.0,0.0,0.110202,0.552853
174,2025-01-08 05:00,8.5648,0.0,0.0,0.084187,0.55016
175,2025-01-08 06:00,7.3302,0.0,0.0,0.069647,0.547414
176,2025-01-08 07:00,100.0,18.0556,0.0,0.395492,0.546551
177,2025-01-08 08:00,100.0,0.0,0.0,0.859781,0.54832
178,2025-01-08 09:00,100.0,0.0,0.0,0.969525,0.550687
179,2025-01-08 10:00,100.0,0.0,0.0,0.996535,0.553178
180,2025-01-08 11:00,100.0,0.0,0.0,0.992613,0.555619
181,2025-01-08 12:00,100.0,0.0,0.0,0.988247,0.558009
182,2025-01-08 13:00,100.0,0.0,0.0,0.984151,0.56035
183,2025-01-08 14:00,100.0,0.0,0.0,0.992138,0.56271
184,2025-01-08 15:00,100.0,0.0,0.0,0.974207,0.564946
185,2025-01-08 16:00,100.0,0.1543,0.0,0.924258,0.566889
186,2025-01-08 17:00,83.7191,0.0772,0.0,0.818332,0.56824
187,2025-01-08 18:00,72.4537,0.2315,0.0,0.700824,0.568949
188,2025-01-08 19:00,60.4167,0.1543,0.0,0.59268,0.569076
189,2025-01-08 20:00,51.5432,0.463,0.0,0.496874,0.568694
190,2025-01-08 21:00,41.5123,0.1543,0.0,0.398832,0.5678
191,2025-01-08 22:00,33.2562,0.2315,0.0,0.321886,0.566512
192,2025-01-08 23:00,28.4722,0.1543,0.0,0.276515,0.565002
193,2025-01-09 00:00,23.6111,0.0772,0.0,0.228732,0.563259
194,2025-01-09 01:00,19.213,0.0,0.0,0.188779,0.561329
195,2025-01-09 02:00,15.5864,0.0772,0.0,0.150042,0.55922
196,2025-01-09 03:00,11.4969,0.0,0.0,0.110841,0.556932
